Designator,Mid X,Mid Y,Layer,Rotation
C2,129.413mm,-82.55mm,Top,0
C3,122.682mm,-83.693mm,Top,18
C4,116.713mm,-86.741mm,Top,36
C5,111.887mm,-91.44mm,Top,54
C6,108.839mm,-97.409mm,Top,72
C7,107.823mm,-104.267mm,Top,90
C8,108.712mm,-110.744mm,Top,108
C9,111.887mm,-116.967mm,Top,126
C10,116.586mm,-121.793mm,Top,144
C11,122.809mm,-124.968mm,Top,162
C12,129.413mm,-125.984mm,Top,180
C13,136.144mm,-124.968mm,Top,198
C14,142.113mm,-121.92mm,Top,216
C15,147.066mm,-117.094mm,Top,234
C16,150.114mm,-110.998mm,Top,252
C17,151.13mm,-104.14mm,Top,270
C18,150.114mm,-97.536mm,Top,288
C19,146.939mm,-91.44mm,Top,306
C20,142.113mm,-86.614mm,Top,324
C21,136.144mm,-83.566mm,Top,342
D1,129.461534mm,-77.726466mm,Top,0
D2,121.272584mm,-79.023468mm,Top,18
D3,113.885225mm,-82.787516mm,Top,36
D4,108.022584mm,-88.650157mm,Top,54
D5,104.258536mm,-96.037516mm,Top,72
D6,102.961534mm,-104.226466mm,Top,90
D7,104.258536mm,-112.415416mm,Top,108
D8,108.022584mm,-119.802775mm,Top,126
D9,113.885225mm,-125.665416mm,Top,144
D10,121.272584mm,-129.429464mm,Top,162
D11,129.461534mm,-130.726466mm,Top,180
D12,137.650484mm,-129.429464mm,Top,198
D13,145.037843mm,-125.665416mm,Top,216
D14,150.900484mm,-119.802775mm,Top,234
D15,154.664532mm,-112.415416mm,Top,252
D16,155.961534mm,-104.226466mm,Top,270
D17,154.664532mm,-96.037516mm,Top,288
D18,150.900484mm,-88.650157mm,Top,306
D19,145.037843mm,-82.787516mm,Top,324
D20,137.650484mm,-79.023468mm,Top,342
S1,154.461534mm,-64.226466mm,Top,0
S2,104.461534mm,-64.226466mm,Top,0
